Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1310000,1.681709,4.0,794.8181818181819,1.1626285,13.159147235480221,13.159147235480221,1.0
1320000,1.6735239,4.0,700.7647058823529,1.1710271,11.445672233315076,11.445672233315076,1.0
1330000,1.6723524,4.0,526.6666666666666,1.1787282,8.250556684202618,8.250556684202618,1.0
1340000,1.6505219,4.0,746.0833333333334,1.2311504,12.336718300978342,12.336718300978342,1.0
1350000,1.6405612,4.0,678.0588235294117,1.2492725,11.174377751701018,11.174377751701018,1.0
1360000,1.63967,4.0,625.0,1.2439626,10.241041612625121,10.241041612625121,1.0
1370000,1.6151656,4.0,519.2105263157895,1.2475985,8.164358885664688,8.164358885664688,1.0
1380000,1.6118591,4.0,675.8235294117648,1.2803903,11.235354249968248,11.235354249968248,1.0
1390000,1.6084554,4.0,567.8666666666667,1.2610998,9.031587996085484,9.031587996085484,1.0
1400000,1.5906929,4.0,619.7857142857143,1.2653673,9.986758440732956,9.986758440732956,1.0
1410000,1.5930796,4.0,701.5,1.2643636,11.58013111703536,11.58013111703536,1.0
1420000,1.6140928,4.0,618.4,1.2572702,10.825988933444023,10.825988933444023,1.0
1430000,1.6023363,4.0,751.5833333333334,1.2642355,13.122835050026575,13.122835050026575,1.0
1440000,1.6042695,4.0,639.3333333333334,1.216357,10.726681317885717,10.726681317885717,1.0
1450000,1.6140158,4.0,866.4615384615385,1.244512,15.171355637220236,15.171355637220236,1.0
1460000,1.603971,4.0,633.2666666666667,1.2142107,10.566108230749766,10.566108230749766,1.0
1470000,1.5626864,4.0,676.125,1.2586225,11.260739030316472,11.260739030316472,1.0
1480000,1.5584584,4.0,753.7272727272727,1.305223,13.06394710053097,13.06394710053097,1.0
1490000,1.5735133,4.0,628.3888888888889,1.389196,10.509967991047436,10.509967991047436,1.0
1500000,1.5720646,4.0,796.0,1.421064,13.786818380157152,13.786818380157152,1.0
1510000,1.5659361,4.0,793.4545454545455,1.531065,14.069692725485021,14.069692725485021,1.0
1520000,1.5604098,4.0,989.1818181818181,1.566666,17.82840248671445,17.82840248671445,1.0
1530000,1.5238882,4.0,850.1666666666666,1.6318054,15.024352048834166,15.024352048834166,1.0
1540000,1.5279163,4.0,644.6428571428571,1.61796,10.961944213935308,10.961944213935308,1.0
1550000,1.5377353,4.0,684.3529411764706,1.7106837,11.844448699670679,11.844448699670679,1.0
1560000,1.5583502,4.0,644.3333333333334,1.7161119,10.329431877686428,10.329431877686428,1.0
1570000,1.5327723,4.0,739.7692307692307,1.7191975,13.528028321266174,13.528028321266174,1.0
1580000,1.5379689,4.0,634.0526315789474,1.6680865,10.524557070599663,10.524557070599663,1.0
1590000,1.5267537,4.0,675.8,1.740266,11.976037968288768,11.976037968288768,1.0
1600000,1.5214493,4.0,694.2352941176471,1.7479508,12.18747232240789,12.18747232240789,1.0
1610000,1.5345267,4.0,727.4166666666666,1.6677754,12.688601444164911,12.688601444164911,1.0
1620000,1.5354267,4.0,779.3076923076923,1.6551825,13.95080182644037,13.95080182644037,1.0
1630000,1.5191187,4.0,740.0,1.6134015,13.200637149460176,13.200637149460176,1.0
1640000,1.525495,4.0,906.3333333333334,1.6320177,16.09313537677129,16.09313537677129,1.0
1650000,1.5544579,4.0,992.9166666666666,1.6617513,18.006485763937235,18.006485763937235,1.0
1660000,1.5569927,4.0,686.8,1.6100527,11.512681603431702,11.512681603431702,1.0
1670000,1.5503029,4.0,870.0,1.6954936,15.674783966758035,15.674783966758035,1.0
1680000,1.5494586,4.0,841.0,1.6608286,15.116818755865097,15.116818755865097,1.0
1690000,1.5164983,4.0,999.0,1.6873671,18.40040216445923,18.40040216445923,1.0
1700000,1.4870365,4.0,876.5555555555555,1.6633815,15.95615777042177,15.95615777042177,1.0
1710000,1.4771948,4.0,916.4666666666667,1.7153882,16.553173627172196,16.553173627172196,1.0
1720000,1.4742692,4.0,813.9230769230769,1.7147775,15.029387614556722,15.029387614556722,1.0
1730000,1.482489,4.0,552.6666666666666,1.714195,9.446701362729073,9.446701362729073,1.0
1740000,1.478964,4.0,953.3,1.7716751,18.77818028132121,18.77818028132121,1.0
1750000,1.4873964,4.0,872.2666666666667,1.7590088,15.457535660266876,15.457535660266876,1.0
1760000,1.479074,4.0,915.2,1.7971156,17.076620416207746,17.076620416207746,1.0
1770000,1.4798911,4.0,838.1818181818181,1.8032117,15.127281945943832,15.127281945943832,1.0
1780000,1.483869,4.0,999.0,1.8451233,18.700362253189088,18.700362253189088,1.0
